"calories","cook","directions","ingredients","name","prep","rating","ready in","url"
"369","55 mins","1. Thread 2 or 3 cubes of pork onto each skewer. Sprinkle each skewer on all sides with salt, black pepper, and seasoned salt, and set the skewers aside. 2. Whisk eggs and milk together in a bowl. Place the seasoned bread crumbs in another bowl. Pour 2 cups of water into a 9x13-inch baking dish with a wire rack set in the dish, and set the dish aside. 3. Preheat an oven to 350 degrees F (175 degrees C). Heat oil in a deep-fryer or large saucepan to 350 degrees F (175 degrees C). 4. Dip each skewer of pork into the egg mixture, then dip in crumbs; dip the skewers a second time into egg mixture and then crumbs. Gently lay the skewers, a few at a time, into the hot oil, and brown until the coating is crisp and golden brown, about 3 minutes per side. Set the fried skewers aside while you finish the rest. Once the skewers are all browned, set them on the wire rack in the baking dish. Cover the dish tightly with aluminum foil. 5. Carefully place the baking dish with the skewers into the preheated oven, and bake until hot and no longer pink in the center, about 20 minutes. Remove the foil, and bake 10 minutes more to dry out the crumb coating. Serve hot.","2 pounds boneless pork, cut into 1 1/2-inch cubes, 14 (4 inch) skewers, salt and ground black pepper to taste, seasoned salt (such as LAWRY'S®) to taste, 4 eggs, 3 tablespoons milk, 2 cups Italian seasoned bread crumbs, 2 cups water, 2 cups vegetable oil for frying","Best City Chicken","20 mins","5","1 hr 15 mins","https://www.allrecipes.com/recipe/213666/best-city-chicken/"
"345","30 mins","1. Preheat oven to 350 degrees F (175 degrees C). 2. Cook and stir ground beef in a large skillet over medium heat until no longer pink and completely browned, 7 to 10 minutes; season with salt and black pepper. Stir cream of mushroom soup into the cooked ground beef; pour the mixture into a 9x13-inch baking dish. Layer tater tots evenly over the ground beef mixture; top with Cheddar cheese. 3. Bake until tater tots are golden brown and hot, 30 to 45 minutes.","1 pound ground beef, 1 pinch salt and ground black pepper to taste, 1 (10.75 ounce) can condensed cream of mushroom soup, 2 cups shredded Cheddar cheese, 1 (16 ounce) package frozen tater tots","Tater Tots(R) Casserole","10 mins","4.5","40 mins","https://www.allrecipes.com/recipe/222037/tater-tots-r-casserole/"
"442","45 mins","1. Place chicken stock in a large saucepan over high heat. Add oranges, prunes, dates, currants and cloves and boil until the fruit has broken down a bit, about 7 to 10 minutes. 2. Stir in peppercorns, mace, sugar, rose water and wine; reduce heat to low and simmer for about 10 minutes. Strain and set aside. 3. Brown chicken in a large skillet until lightly browned on both sides; add reserved sauce and cook together, turning and basting, until chicken is cooked through and juices run clear, about 20 to 25 minutes.","2 ½ pounds skinless, boneless chicken breast meat - cubed, ½ cup chicken stock, 2 oranges, peeled and segmented, 4 pitted prunes, 4 pitted dates, ½ cup dried currants, ½ teaspoon whole cloves, 1 teaspoon black peppercorns, ½ teaspoon ground mace, 2 tablespoons white sugar, 1 tablespoon rose water, ¾ cup white wine","Sixteenth Century Orange Chicken","","4","45 mins","https://www.allrecipes.com/recipe/20411/sixteenth-century-orange-chicken/"
"502","40 mins","1. Preheat the oven to 350 degrees F (175 degrees C). Spray a large casserole dish with cooking spray. 2. Bring a large pot of lightly salted water to a boil. Add penne and cook, stirring occasionally, until tender yet firm to the bite, about 11 minutes. Drain. 3. While the pasta is cooking, melt butter in a large skillet over medium heat. Add onion and bell pepper and cook, stirring occasionally, until vegetables are tender, about 5 minutes. Add mushrooms and cook until they release their liquid, about 5 minutes. Add garlic and cook, stirring occasionally, until fragrant, about 1 minute. 4. Stir in processed cheese food, diced tomatoes and juice, diced tomatoes and green chiles with juice, and mild chile peppers. Cook and stir until cheese has melted, 5 to 10 minutes. Remove from heat and stir in cooked pasta and chicken. Pour into the prepared baking dish. 5. Bake in the preheated oven until heated through, about 20 minutes. Serve warm.","cooking spray, 1 (16 ounce) package penne pasta, 4 tablespoons salted butter, 1 large onion, chopped, 1 green bell pepper - stemmed, seeded, and finely chopped, 1 (8 ounce) package sliced fresh mushrooms, 3 cloves garlic, minced, 2 (8 ounce) packages processed cheese food (such as Velveeta®), cubed, 1 (14.5 ounce) can diced tomatoes, undrained, 1 (10 ounce) can diced tomatoes and green chiles (such as RO*TEL®), undrained, 1 (4 ounce) can mild chopped green chile peppers, 4 cups cooked chicken, cut into bite-sized pieces","Pantry Chicken Casserole","15 mins","4.5","55 mins","https://www.allrecipes.com/recipe/279536/pantry-chicken-casserole/"
"511","20 mins","1. Bring a large pot of salted water to a boil; cook linguine in boiling water until nearly tender, 6 to 8 minutes. Drain. 2. Melt 2 tablespoons butter with 2 tablespoons olive oil in a large skillet over medium heat. Cook and stir shallots, garlic, and red pepper flakes in the hot butter and oil until shallots are translucent, 3 to 4 minutes. Season shrimp with kosher salt and black pepper; add to the skillet and cook until pink, stirring occasionally, 2 to 3 minutes. Remove shrimp from skillet and keep warm. 3. Pour white wine and lemon juice into skillet and bring to a boil while scraping the browned bits of food off of the bottom of the skillet with a wooden spoon. Melt 2 tablespoons butter in skillet, stir 2 tablespoons olive oil into butter mixture, and bring to a simmer. Toss linguine, shrimp, and parsley in the butter mixture until coated; season with salt and black pepper. Drizzle with 1 teaspoon olive oil to serve.","1 (16 ounce) package linguine pasta, 2 tablespoons butter, 2 tablespoons extra-virgin olive oil, 2 shallots, finely diced, 2 cloves garlic, minced, 1 pinch red pepper flakes (Optional), 1 pound shrimp, peeled and deveined, 1 pinch kosher salt and freshly ground pepper, ½ cup dry white wine, 1 lemon, juiced, 2 tablespoons butter, 2 tablespoons extra-virgin olive oil, ¼ cup finely chopped fresh parsley leaves, 1 teaspoon extra-virgin olive oil, or to taste","Shrimp Scampi with Pasta","20 mins","4.5","40 mins","https://www.allrecipes.com/recipe/229960/shrimp-scampi-with-pasta/"
"269","5 mins","1. Preheat air fryer to 390 degrees F (200 degrees C). 2. Place buns in the basket of the air fryer and cook for 2 minutes. Remove buns to a plate. 3. Place hot dogs in the basket of the air fryer and cook for 3 minutes. Transfer hot dogs to buns.","4 hot dog buns, 4 hot dogs","Basic Air Fryer Hot Dogs","5 mins","4.5","10 mins","https://www.allrecipes.com/recipe/268494/basic-air-fryer-hot-dogs/"
"494","30 mins","1. Heat a large skillet over medium heat; cook and stir beef and onion until beef is browned, about 5 minutes. Drain. Stir tomatoes, water, rice, and taco seasoning into beef mixture and bring to a boil. Reduce heat to medium-low, cover, and simmer until rice is tender, about 25 minutes. Top with Mexican cheese blend and lettuce before serving.","1 pound ground beef, 1 onion, chopped, 1 (14.5 ounce) can diced tomatoes, 2 cups water, 1 cup converted rice, 1 (1 ounce) package taco seasoning, 1 cup shredded Mexican cheese blend, 1 cup shredded lettuce","Easy Taco Skillet","10 mins","4","40 mins","https://www.allrecipes.com/recipe/232838/easy-taco-skillet/"
"460","15 mins","1. Cook the pasta in a large pot of boiling salted water until al dente. 2. Meanwhile, combine tomatoes and beans in a large non-stick skillet. Bring to a boil over medium high heat. Reduce heat, and simmer 10 minutes. 3. Add spinach to the sauce; cook for 2 minutes or until spinach wilts, stirring constantly. 4. Serve sauce over pasta, and sprinkle with feta.","2 (14.5 ounce) cans Italian-style diced tomatoes, 1 (19 ounce) can cannellini beans, drained and rinsed, 10 ounces fresh spinach, washed and chopped, 8 ounces penne pasta, ½ cup crumbled feta cheese","Greek Pasta with Tomatoes and White Beans","10 mins","4","25 mins","https://www.allrecipes.com/recipe/11669/greek-pasta-with-tomatoes-and-white-beans/"
"518","20 mins","1. Preheat the oven to 350 degrees F (175 degrees C). 2. Place chicken breasts on a flat work surface. Slice horizontally through the middle, being careful not to cut all the way through to the other side. Open the 2 sides and spread them out like an open book to butterfly. 3. Melt butter in a large, oven-safe skillet over medium-high heat. Add garlic, oregano, thyme. Saute until fragrant, about 30 seconds. Add chicken and cook until golden brown but not fully cooked, 3 to 4 minutes per side. Pour 1/4 cup chicken broth into the skillet. 4. Bake in the preheated oven until chicken is no longer pink in the centers and juices run clear, about 15 minutes. 5. Meanwhile, place bacon in a large skillet and cook over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Drain bacon slices on paper towels and let cool enough to handle, about 5 minutes; chop. 6. At the same time, bring a large pot of lightly salted water to a boil. Cook angel hair pasta in the boiling water, stirring occasionally, until tender yet firm to the bite, 4 to 5 minutes. Drain and keep warm. 7. Remove skillet from the oven and transfer chicken to a plate, reserving juices in the skillet. Keep chicken warm and place skillet on the stovetop. 8. Whisk flour into the skillet over medium heat. Add remaining chicken broth, Parmesan cheese, and whipping cream. Whisk until combined. Add sun-dried tomatoes, red pepper flakes, and salt. Add bacon and chicken back into the skillet. Serve on top of hot cooked pasta.","1 ½ pounds skinless, boneless chicken breast halves, 2 tablespoons butter, 3 cloves garlic, minced, ½ teaspoon dried oregano, ¼ teaspoon ground thyme, ½ cup chicken broth, divided, ½ pound bacon, 1 (16 ounce) package angel hair pasta, 1 tablespoon all-purpose flour, ½ cup freshly shaved Parmesan cheese, ¼ cup whipping cream, ¼ cup chopped sun-dried tomatoes, 1 pinch red pepper flakes, salt to taste","Marry-Me Chicken","15 mins","4.5","35 mins","https://www.allrecipes.com/recipe/275590/marry-me-chicken/"
"189","30 mins","1. In a medium skillet over medium heat, brown the ground beef, onion, and green pepper; drain off liquids. 2. Stir in the garlic powder, mustard, ketchup, and brown sugar; mix thoroughly. Reduce heat, and simmer for 30 minutes. Season with salt and pepper.","1 pound lean ground beef, ¼ cup chopped onion, ¼ cup chopped green bell pepper, ½ teaspoon garlic powder, 1 teaspoon prepared yellow mustard, ¾ cup ketchup, 3 teaspoons brown sugar, salt to taste, ground black pepper to taste","Sloppy Joes II","10 mins","4.5","40 mins","https://www.allrecipes.com/recipe/24264/sloppy-joes-ii/"
"405","15 mins","1. Mix together the flour, salt, and pepper in a shallow bowl. In another bowl, whisk beaten eggs, sugar, and Parmesan cheese until the mixture is thoroughly blended and the sugar has dissolved. 2. Heat olive oil in a large skillet over medium heat until the oil shimmers. Dip the chicken breasts into the flour mixture, then into the egg mixture, and gently lay them into the skillet. Pan-fry the chicken breasts until golden brown and no longer pink in the middle, about 6 minutes on each side. Remove from the skillet and set aside. 3. In the same skillet over medium-low heat, melt the butter, and stir in garlic, sherry, lemon juice, and chicken base. Bring the sauce to a simmer, and stir until smooth and slightly thickened, about 5 minutes. Be sure to dissolve any brown flavor bits from the bottom of the skillet as you stir. Return the chicken breasts to the sauce, and gently simmer until no longer pink in the center, about 15 minutes. 4. To serve, place a chicken breast on a plate, and top with sauce.","¼ cup all-purpose flour, or as needed, salt and black pepper to taste, 2 eggs, beaten, 1 tablespoon white sugar, 1 tablespoon grated Parmesan cheese, 2 tablespoons olive oil, 4 skinless, boneless chicken breast halves, ¼ cup butter, 2 teaspoons minced garlic, ¼ cup dry sherry, ¼ cup lemon juice, 2 teaspoons low-sodium chicken base","Chicken French - Rochester, NY Style","15 mins","5","30 mins","https://www.allrecipes.com/recipe/213487/chicken-french-rochester-ny-style/"
"224","10 mins","1. Drain and reserve liquid from salmon. Mix egg, onion, bread crumbs and salmon together. 2. Make into patties. If mixture is too dry to form into patties, add reserved liquid from salmon. 3. In a frying pan, heat olive oil. Place patties in pan. Brown on each side, turning gently. Drain on paper towels and serve.","1 (14.75 ounce) can canned salmon, 1 egg, ¼ cup chopped onion, ½ cup seasoned dry bread crumbs, 1 tablespoon olive oil","Salmon Patties I","15 mins","4.5","25 mins","https://www.allrecipes.com/recipe/9401/salmon-patties-i/"
"105","15 mins","1. Stir together flour, baking powder, sugar, and salt in a bowl. Cut in butter until mixture is crumbly. Stir in milk and mix until a batter forms that is thick enough to be scooped with a spoon. Allow batter to rest for 3 to 5 minutes.. 2. Drop batter by spoonfuls into boiling stew or soup. Cover and simmer without lifting the lid for 15 minutes. Serve.","1 cup all-purpose flour, 2 teaspoons baking powder, 1 teaspoon white sugar, ½ teaspoon salt, 1 tablespoon margarine, ½ cup milk","Dumplings","5 mins","4.5","20 mins","https://www.allrecipes.com/recipe/6900/dumplings/"
"268","10 mins","1. Heat vegetable oil in a large wok or skillet over medium-high heat; cook and stir beef until browned, 3 to 4 minutes. Move beef to the side of the wok and add broccoli, bell pepper, carrots, green onion, and garlic to the center of the wok. Cook and stir vegetables for 2 minutes. 2. Stir beef into vegetables and season with soy sauce and sesame seeds. Continue to cook and stir until vegetables are tender, about 2 more minutes.","2 tablespoons vegetable oil, 1 pound beef sirloin, cut into 2-inch strips, 1 ½ cups fresh broccoli florets, 1 red bell pepper, cut into matchsticks, 2 carrots, thinly sliced, 1 green onion, chopped, 1 teaspoon minced garlic, 2 tablespoons soy sauce, 2 tablespoons sesame seeds, toasted","Quick Beef Stir-Fry","15 mins","4.5","25 mins","https://www.allrecipes.com/recipe/228823/quick-beef-stir-fry/"
"288","10 mins","1. Preheat a grill for high heat. 2. Mix the ground beef, egg, bread crumbs, evaporated milk, Worcestershire sauce, cayenne pepper, and garlic in a large bowl using your hands. Form the mixture into 8 hamburger patties. 3. Lightly oil the grill grate. Grill patties until browned and no longer pink, about 5 minutes per side.","2 pounds ground beef, 1 egg, beaten, ¾ cup dry bread crumbs, 3 tablespoons evaporated milk, 2 tablespoons Worcestershire sauce, ⅛ teaspoon cayenne pepper, 2 cloves garlic, minced","Juiciest Hamburgers Ever","15 mins","4.5","35 mins","https://www.allrecipes.com/recipe/49404/juiciest-hamburgers-ever/"
"225","","1. Cook pasta in a large pot of boiling water until done. Drain. 2. Meanwhile, heat the oil in a frying pan over medium low heat. Add pesto, onion, and salt and pepper. Cook about five minutes, or until onions are soft. 3. In a large bowl, mix pesto mixture into pasta. Stir in grated cheese. Serve.","½ cup chopped onion, 2 ½ tablespoons pesto, 2 tablespoons olive oil, 2 tablespoons grated Parmesan cheese, 1 (16 ounce) package pasta, salt to taste, ground black pepper to taste","Pesto Pasta","5 mins","4.5","15 mins","https://www.allrecipes.com/recipe/11887/pesto-pasta/"
"715","10 mins","1. Whisk chicken broth, oyster sauce, soy sauce, fish sauce, white sugar, and brown sugar together in a bowl until well blended. 2. Heat large skillet over high heat. Drizzle in oil. Add chicken and stir fry until it loses its raw color, 2 to 3 minutes. Stir in shallots, garlic, and sliced chilies. Continue cooking on high heat until some of the juices start to caramelize in the bottom of the pan, about 2 or 3 more minutes. Add about a tablespoon of the sauce mixture to the skillet; cook and stir until sauce begins to caramelize, about 1 minute. 3. Pour in the rest of the sauce. Cook and stir until sauce has deglazed the bottom of the pan. Continue to cook until sauce glazes onto the meat, 1 or 2 more minutes. Remove from heat. 4. Stir in basil. Cook and stir until basil is wilted, about 20 seconds. Serve with rice.","⅓ cup chicken broth, 1 tablespoon oyster sauce, 1 tablespoon soy sauce, or as needed, 2 teaspoons fish sauce, 1 teaspoon white sugar, 1 teaspoon brown sugar, 2 tablespoons vegetable oil, 1 pound skinless, boneless chicken thighs, coarsely chopped, ¼ cup sliced shallots, 4 cloves garlic, minced, 2 tablespoons minced Thai chilies, Serrano, or other hot pepper, 1 cup very thinly sliced fresh basil leaves, 2 cups hot cooked rice","Spicy Thai Basil Chicken (Pad Krapow Gai)","15 mins","5","25 mins","https://www.allrecipes.com/recipe/257938/spicy-thai-basil-chicken-pad-krapow-gai/"
"455","15 mins","1. In a shallow baking dish, mix the salad dressing, garlic powder, and salt. Place the chicken in the bowl, and turn to coat. Marinate in the refrigerator at least 4 hours. (For best results, marinate overnight.) 2. Preheat the grill for high heat. 3. Lightly oil grate. Discard marinade, and grill chicken 8 minutes on each side, or until juices run clear.","1 (16 ounce) bottle Italian-style salad dressing, 1 teaspoon garlic powder, 1 teaspoon salt, 4 skinless, boneless chicken breast halves","Italian Chicken Marinade","15 mins","4.5","4 hrs 30 mins","https://www.allrecipes.com/recipe/8948/italian-chicken-marinade/"
"300","1 hr 30 mins","1. Preheat oven to 350 degrees F (175 degrees C). 2. Crush garlic with rosemary, salt and pepper in a mortar and pestle to make a paste. Pierce meat with a sharp knife in several places and press garlic paste into the openings. Rub pork loin with the remaining garlic mixture and olive oil. Set into an oven-safe pan. 3. Place pork loin into the preheated oven, turning and basting with pan liquids every 30 minutes. Cook until the pork is no longer pink in the center, 90 minutes to 2 hours. An instant-read thermometer inserted into the center should read 145 degrees F (63 degrees C). Remove roast to a platter and keep warm. 4. Place pan onto the stove over medium-high heat and pour wine into it. Heat wine and stir to loosen browned bits from the bottom of the pan. Simmer for 3 to 5 minutes. 5. Slice pork loin and serve with pan juices.","3 cloves garlic, minced, 1 tablespoon dried rosemary, salt and pepper to taste, 2 pounds boneless pork loin roast, ¼ cup olive oil, ½ cup white wine","Roasted Pork Loin","20 mins","4.5","1 hr 50 mins","https://www.allrecipes.com/recipe/21766/roasted-pork-loin/"
"755","22 mins","1. Bring a large pot of lightly salted water to a boil. Cook spaghetti in the boiling water, stirring occasionally until cooked through but firm to the bite, about 12 minutes. Drain and transfer to a pasta bowl. 2. Combine garlic and olive oil in a cold skillet. Cook over medium heat to slowly toast garlic, about 10 minutes. Reduce heat to medium-low when olive oil begins to bubble. Cook and stir until garlic is golden brown, about another 5 minutes. Remove from heat. 3. Stir red pepper flakes, black pepper, and salt into the pasta. Pour in olive oil and garlic, and sprinkle on Italian parsley and half of the Parmigiano-Reggiano cheese; stir until combined. 4. Serve pasta topped with the remaining Parmigiano-Reggiano cheese.","1 pound uncooked spaghetti, 6 cloves garlic, thinly sliced, ½ cup olive oil, ¼ teaspoon red pepper flakes, or to taste, salt and freshly ground black pepper to taste, ¼ cup chopped fresh Italian parsley, 1 cup finely grated Parmigiano-Reggiano cheese","Spaghetti Aglio e Olio","10 mins","4.5","32 mins","https://www.allrecipes.com/recipe/222000/spaghetti-aglio-e-olio/"
"595","20 mins","1. Bring a large pot of lightly salted water to a boil. Cook pasta in boiling water for 8 to 10 minutes, or until al dente; drain. 2. Preheat oven to 425 degrees F (220 degrees C). 3. In a large bowl, thoroughly mix noodles, onion, 1 cup cheese, peas, tuna, soup and mushrooms. Transfer to a 9x13 inch baking dish, and top with potato chip crumbs and remaining 1 cup cheese. 4. Bake for 15 to 20 minutes in the preheated oven, or until cheese is bubbly.","1 (12 ounce) package egg noodles, ¼ cup chopped onion, 2 cups shredded Cheddar cheese, 1 cup frozen green peas, 2 (5 ounce) cans tuna, drained, 2 (10.75 ounce) cans condensed cream of mushroom soup, ½ (4.5 ounce) can sliced mushrooms, 1 cup crushed potato chips","Best Tuna Casserole","15 mins","4.5","35 mins","https://www.allrecipes.com/recipe/17219/best-tuna-casserole/"
"687","25 mins","1. Gently rinse liver slices under cold water, and place in a medium bowl. Pour in enough milk to cover. Let stand while preparing onions. (I like to soak up to an hour or two - whatever you have time for.) This step is SO important in taking the bitter taste of the liver out. 2. Melt 2 tablespoons of butter in a large skillet over medium heat. Separate onion rings, and saute them in butter until soft. Remove onions, and melt remaining butter in the skillet. Season the flour with salt and pepper, and put it in a shallow dish or on a plate. Drain milk from liver, and coat slices in the flour mixture. 3. When the butter has melted, turn the heat up to medium-high, and place the coated liver slices in the pan. Cook until nice and brown on the bottom. Turn, and cook on the other side until browned. Add onions, and reduce heat to medium. Cook a bit longer to taste. Our family prefers the liver to just barely retain a pinkness on the inside when you cut to check. Enjoy!","2 pounds sliced beef liver, 1 ½ cups milk, or as needed, ¼ cup butter, divided, 2 large Vidalia onions, sliced into rings, 2 cups all-purpose flour, or as needed, salt and pepper to taste","Absolute Best Liver and Onions","20 mins","4.5","45 mins","https://www.allrecipes.com/recipe/58942/absolute-best-liver-and-onions/"
"576","4 hrs","1. Place meat in slow cooker. 2. Mix flour, salt, and pepper together in a small bowl. Pour over meat, and stir until meat is coated. 3. Add beef broth, carrots, potatoes, onion, celery, Worcestershire sauce, paprika, garlic, and bay leave; stir to combine. 4. Cover, and cook until beef is tender enough to cut with a spoon, on Low for 8 to 12 hours, or on High for 4 to 6 hours.","2 pounds beef stew meat, cut into 1-inch pieces, ¼ cup all-purpose flour, ½ teaspoon salt, ½ teaspoon ground black pepper, 1 ½ cups beef broth, 4 medium carrots, sliced, 3 medium potatoes, diced, 1 medium onion, chopped, 1 stalk celery, chopped, 1 teaspoon Worcestershire sauce, 1 teaspoon ground paprika, 1 clove garlic, minced, 1 large bay leaf","Slow Cooker Beef Stew","20 mins","4.5","4 hrs 20 mins","https://www.allrecipes.com/recipe/14685/slow-cooker-beef-stew-i/"
"700","35 mins","1. Bring rice and water to a boil in a saucepan over high heat. Reduce heat to medium-low, cover, and simmer until rice is tender, and liquid has been absorbed, 20 to 25 minutes. 2. Combine soy sauce, brown sugar, and corn starch in a small bowl; stir until smooth. Mix ginger, garlic, and red pepper into sauce; coat chicken with marinade and refrigerate for at least 15 minutes. 3. Heat 1 tablespoon sesame oil in a large skillet over medium-high heat. Cook and stir bell pepper, water chestnuts, broccoli, carrots, and onion until just tender, about 5 minutes. Remove vegetables from skillet and keep warm. 4. Remove chicken from marinade, reserving liquid. Heat 1 tablespoon sesame oil in skillet over medium-high heat. Cook and stir chicken until slightly pink on the inside, about 2 minutes per side; return vegetables and reserved marinade to skillet. Bring to a boil; cook and stir until chicken is no longer pink in the middle and vegetables are tender, 5 to 7 minutes. Serve over rice.","2 cups white rice, 4 cups water, ⅔ cup soy sauce, ¼ cup brown sugar, 1 tablespoon cornstarch, 1 tablespoon minced fresh ginger, 1 tablespoon minced garlic, ¼ teaspoon red pepper flakes, 3 skinless, boneless chicken breast halves, thinly sliced, 1 tablespoon sesame oil, 1 green bell pepper, cut into matchsticks, 1 (8 ounce) can sliced water chestnuts, drained, 1 head broccoli, broken into florets, 1 cup sliced carrots, 1 onion, cut into large chunks, 1 tablespoon sesame oil","Chicken Stir-Fry","30 mins","4.5","1 hr 20 mins","https://www.allrecipes.com/recipe/223382/chicken-stir-fry/"
"319","25 mins","1. In a large bowl, mix together the ground beef, egg, bread crumbs, pepper, salt, onion powder, garlic powder, and Worcestershire sauce. Form into 8 balls, and flatten into patties. 2. Heat the oil in a large skillet over medium heat. Fry the patties and onion in the oil until patties are nicely browned, about 4 minutes per side. Remove the beef patties to a plate, and keep warm. 3. Sprinkle flour over the onions and drippings in the skillet. Stir in flour with a fork, scraping bits of beef off of the bottom as you stir. Gradually mix in the beef broth and sherry. Season with seasoned salt. Simmer and stir over medium-low heat for about 5 minutes, until the gravy thickens. Turn heat to low, return patties to the gravy, cover, and simmer for another 15 minutes.","1 pound ground beef, 1 egg, ¼ cup bread crumbs, ⅛ teaspoon ground black pepper, ½ teaspoon seasoned salt, ½ teaspoon onion powder, ½ teaspoon garlic powder, 1 teaspoon Worcestershire sauce, 1 tablespoon vegetable oil, 1 cup thinly sliced onion, 2 tablespoons all-purpose flour, 1 cup beef broth, 1 tablespoon cooking sherry, ½ teaspoon seasoned salt","Hamburger Steak with Onions and Gravy","15 mins","4.5","40 mins","https://www.allrecipes.com/recipe/78370/hamburger-steak-with-onions-and-gravy/"
"756","30 mins","1. Preheat oven to 350 degrees F (175 degrees C). 2. In a medium saucepan, bring the water to a boil. Mix in the instant rice, cover, and remove from heat. Let stand 5 minutes. 3. In a 9x13 inch baking dish, mix the prepared rice, chicken, cream of mushroom soup, cream of chicken soup, butter, milk, broccoli, onion, and processed cheese. 4. Bake in the preheated oven for 30 to 35 minutes, or until cheese is melted. Stir halfway through cooking to help cheese melt evenly.","2 cups water, 2 cups uncooked instant rice, 2 (10 ounce) cans chunk chicken, drained, 1 (10.75 ounce) can condensed cream of mushroom soup, 1 (10.75 ounce) can condensed cream of chicken soup, ¼ cup butter, 1 cup milk, 1 (16 ounce) package frozen chopped broccoli, 1 small white onion, chopped, 1 pound processed cheese food","Broccoli, Rice, Cheese, and Chicken Casserole","15 mins","4.5","45 mins","https://www.allrecipes.com/recipe/25490/broccoli-rice-cheese-and-chicken-casserole/"
"82","35 mins","1. Cover a baking sheet with foil and spray lightly with cooking spray. 2. Soak bread crumbs in milk in a small bowl for 20 minutes. 3. Heat olive oil in a skillet over medium heat; stir in onion. Cook and stir until onion has softened and turned translucent, about 5 minutes. Reduce heat to low and continue cooking and stirring until onion is very tender, about 15 minutes more. 4. Gently stir beef and pork together in a large bowl (do not overmix). Stir onions, bread crumb mixture, eggs, parsley, garlic, salt, black pepper, red pepper flakes, Italian herb seasoning, and Parmesan cheese into meat mixture with a rubber spatula until combined. Cover and refrigerate for about one hour. 5. Preheat an oven to 425 degrees F (220 degrees C). 6. Using wet hands, form meat mixture into balls about 1 1/2 inches in diameter. Arrange onto prepared baking sheet. 7. Bake in the preheated oven until browned and cooked through, 15 to 20 minutes.","⅓ cup plain bread crumbs, ½ cup milk, 2 tablespoons olive oil, 1 onion, diced, 1 pound ground beef, 1 pound ground pork, 2 eggs, ¼ bunch fresh parsley, chopped, 3 cloves garlic, crushed, 2 teaspoons salt, 1 teaspoon ground black pepper, ½ teaspoon red pepper flakes, 1 teaspoon dried Italian herb seasoning, 2 tablespoons grated Parmesan cheese","Chef John's Italian Meatballs","20 mins","5","2 hrs 15 mins","https://www.allrecipes.com/recipe/220854/chef-johns-italian-meatballs/"
