id,step,seqNo,recId
IS03485,Form salmon mixture into four 1-inch thick patties; sprinkle remaining panko bread crumbs over each patty.,3,R00922
IS03486,"Heat olive oil in a skillet over medium-heat. Cook patties in hot oil until golden and cooked through, 3 to 4 minutes per side.",4,R00922
IS03487,Pick through salmon to remove any bones or large pieces of skin.,1,R00923
IS03488,"Beat eggs in a mixing bowl. Stir in salmon, onion, and black pepper. Mix thoroughly.",2,R00923
IS03489,Shape salmon mixture into eight 2-ounce patties.,3,R00923
IS03490,"Heat oil in a large skillet over medium heat. Fry patties until crispy and golden brown on the outsides, about 5 minutes per side; work in batches if necessary to avoid crowding the pan.",4,R00923
IS03491,"Stir garlic powder, basil, and salt together in a small bowl. Rub the mixture evenly over salmon.",1,R00924
IS03492,"Melt butter in a large skillet over medium heat. Add salmon and cook until browned and flaky, about 5 minutes per side.",2,R00924
IS03493,Serve salmon with lemon wedges.,3,R00924
IS03494,"Mix paprika, cayenne pepper, onion powder, salt, white and black pepper, thyme, basil, and oregano together in a small bowl.",1,R00925
IS03495,"Brush salmon fillets on both sides with 1/4 cup butter, and sprinkle evenly with the spice mixture.",2,R00925
IS03496,"Heat 2 tablespoons melted butter in a large, heavy skillet over high heat. Add salmon and cook until blackened, 2 to 5 minutes. Lift fillets, add remaining melted butter to the skillet, and flip fillets into the butter. Cook until the other side is blackened and fish flakes easily with a fork, 3 to 5 minutes.",3,R00925
IS03497,"In a medium glass bowl, prepare marinade by mixing garlic, light olive oil, basil, salt, pepper, lemon juice and parsley. Place salmon fillets in a medium glass baking dish, and cover with the marinade. Marinate in the refrigerator about 1 hour, turning occasionally.",1,R00926
IS03498,Preheat oven to 375 degrees F (190 degrees C).,2,R00926
IS03499,"Place fillets in aluminum foil, cover with marinade, and seal. Place sealed salmon in the glass dish, and bake 35 to 45 minutes, until easily flaked with a fork.",3,R00926
IS03500,Rinse the salmon fillets and pat dry thoroughly with paper towels; season with sea salt.,1,R00927
IS03501,Heat the oil in a skillet over medium-high heat.,2,R00927
IS03502,"Gently lay the salmon into the hot oil with the skin side facing up and cook until the the flesh side is golden brown, 5 to 7 minutes; turn and continue cooking until the skin side is slightly browned, about 5 minutes more. Remove the salmon from the skillet, allowing any oil to drain from the fish back into the pan.",3,R00927
IS03503,"Remove the skin from the salmon fillets; fry the skin in the oil remaining in the skillet until crispy, 2 to 3 minutes. Serve the crispy skin with the salmon.",4,R00927
IS03504,Preheat oven to 400 degrees F (200 degrees C).,1,R00928
IS03505,"In a small bowl, stir together butter, mustard, and honey. Set aside. In another bowl, mix together bread crumbs, pecans, and parsley.",2,R00928
IS03506,"Brush each salmon fillet lightly with honey mustard mixture, and sprinkle the tops of the fillets with the bread crumb mixture.",3,R00928
IS03507,"Bake salmon 12 to 15 minutes in the preheated oven, or until it flakes easily with a fork. Season with salt and pepper, and garnish with a wedge of lemon.",4,R00928
IS03508,Preheat the oven to 375 degrees F (190 degrees C).,1,R00929
IS03509,"Combine 1/2 cup olive oil, lemon juice, garlic, brown sugar, oregano, thyme, salt, and pepper in a bowl.",2,R00929
IS03510,"Place a large piece of aluminum foil on a baking sheet and brush with olive oil. Place salmon in the middle of the foil, skin-side down. Drizzle with olive oil mixture. Fold up the edges of the foil over the salmon to create a packet, making sure to seal the edges.",3,R00929
IS03511,"Bake in the preheated oven until fish flakes easily with a fork, 20 to 25 minutes. If your salmon fillet is very thick, it can take longer. Garnish with fresh parsley and lemon slices.",4,R00929
IS03512,Process cream cheese in a food processor to soften completely.,1,R00930
IS03513,"Add smoked salmon, capers, green onion, dill, cream, Worcestershire sauce, hot pepper sauce, and lemon juice. Process the mixture again until creamy and smooth.",2,R00930
IS03514,Preheat oven to 350 degrees F (175 degrees C). Lightly grease a medium baking dish.,1,R00931
IS03515,"Place salmon in the baking dish. Mix the butter and lemon juice in a small bowl, and drizzle over the salmon. Season with dill, garlic powder, sea salt, and pepper.",2,R00931
IS03516,"Bake 25 minutes in the preheated oven, or until salmon is easily flaked with a fork.",3,R00931
IS03517,"Preheat oven to 400 degrees F (200 degrees C). Line a baking sheet with aluminum foil, and spray with non-stick cooking spray.",1,R00932
IS03518,"Coat a small saucepan with non-stick cooking spray. Over medium heat, cook and stir garlic until soft, about 3 minutes. Mix in white wine, honey, balsamic vinegar, mustard, and salt and pepper. Simmer, uncovered, for about 3 minutes, or until slightly thickened.",2,R00932
IS03519,"Arrange salmon fillets on foil-lined baking sheet. Brush fillets with balsamic glaze, and sprinkle with oregano.",3,R00932
IS03520,"Bake in preheated oven for 10 to 14 minutes, or until flesh flakes easily with a fork. Brush fillets with remaining glaze, and season with salt and pepper. Use a spatula to transfer fillets to serving platter, leaving the skin behind on the foil.",4,R00932
IS03521,Preheat oven to 350 degrees F (175 degrees C).,1,R00933
IS03522,"Place salmon on a lightly oiled sheet pan or in a shallow baking dish, folding under thin outer edges of fillets for even cooking. Top salmon with chopped tomatoes and green onions, and season with salt and pepper.",2,R00933
IS03523,"Cook salmon in the preheated oven, uncovered, for approximately 20 minutes. Fish is done when easily flaked with a fork.",3,R00933
IS03524,"Preheat the oven to 425 degrees F (220 degrees C). Line a large, rimmed baking sheet with foil and coat lightly with cooking spray.",1,R00934
IS03525,"Toss sweet potatoes with 2 teaspoons oil, 1/4 teaspoon salt, and 1/8 teaspoon pepper in medium bowl. Place on one half of the prepared baking sheet.",2,R00934
IS03526,Bake in the preheated oven for 5 minutes.,3,R00934
IS03527,"While the potatoes are cooking, stir together Dijon, honey, and cayenne in a small bowl. Toss broccoli with remaining oil, salt, and pepper in a separate bowl.",4,R00934
IS03528,"Remove potatoes from the oven. Add salmon to the other half of the baking sheet. Place 2 teaspoons of the mustard mixture on each salmon filet; brush evenly to coat, then sprinkle evenly with bagel seasoning. Add broccoli to the sweet potatoes. Return to the oven and bake until salmon flakes easily with a fork and the veggies are golden, about 12 minutes.",5,R00934
IS03529,Stir soy sauce into the remaining mustard mixture and drizzle over veggies.,6,R00934
IS03530,Place an oven rack in the lowest position in oven and preheat oven to 400 degrees F (200 degrees C).,1,R00935
IS03531,Place salmon fillet with skin side down in the middle of a large piece of parchment paper; season with salt and black pepper. Cut 2 3-inch slits into the fish with a sharp knife. Stuff chopped basil leaves into the slits. Spray fillet with cooking spray and arrange lemon slices on top.,2,R00935
IS03532,Fold edges of parchment paper over the fish several times to seal into an airtight packet. Place sealed packet onto a baking sheet.,3,R00935
IS03533,"Bake fish on the bottom rack of oven until salmon flakes easily and meat is pink and opaque with an interior of slightly darker pink color, about 25 minutes. An instant-read meat thermometer inserted into the thickest part of the fillet should read at least 145 degrees F (65 degrees C). To serve, cut the parchment paper open and remove lemon slices before plating fish.",4,R00935
IS03534,"Preheat the oven's broiler and set the oven rack about 6 inches from the heat source. Line a jelly roll pan with aluminum foil, and spray with nonstick spray.",1,R00936
IS03535,"Place garlic and olive oil in a small microwave safe bowl and cook on High for 1 1/2 minutes. Melt the butter in a saucepan over low heat, and stir in the garlic mixture. Remove from heat; stir in the Worcestershire sauce, lemon juice, white wine, black pepper, garlic salt, and fines herbs.",2,R00936
IS03536,"Place the salmon fillets skin-side down on the prepared pan. Spoon about 1/3 of the butter sauce over the fillets, and sprinkle evenly with the fresh dill.",3,R00936
IS03537,"Broil in the preheated oven for 3 minutes. Turn salmon fillets so that the side of the fillet faces up, and baste fillets with about 1/3 of the butter sauce; broil for 3 minutes. Turn the fillets to place the opposite side facing up; spoon on the remaining butter sauce; broil until the fish flakes easily with a fork, about 3 additional minutes.",4,R00936
IS03538,Preheat oven to 400 degrees F (200 degrees C).,1,R00937
IS03539,"Arrange half the lemon slices in a single layer in a baking dish. Layer with 2 sprigs rosemary, and top with salmon fillets. Sprinkle salmon with salt, layer with remaining rosemary sprigs, and top with remaining lemon slices. Drizzle with olive oil.",2,R00937
IS03540,"Bake 20 minutes in the preheated oven, or until fish is easily flaked with a fork.",3,R00937
IS03541,Preheat the air fryer to 390 degrees F (199 degrees C).,1,R00938
IS03542,"Whisk mustard, brown sugar, garlic, salt, pepper, and dill together in a small bowl. Set aside.",2,R00938
IS03543,"Place salmon, flesh-side down, in the basket of the air fryer. Cook for 6 minutes. Flip salmon over and brush 1/4 of the sauce on top of each fillet. Cook for 6 more minutes.",3,R00938
IS03544,"Brush remaining sauce over the fillets and cook until salmon easily flakes with a fork, 3 to 4 more minutes",4,R00938
IS03545,"In a medium bowl, combine salmon, egg, and flour; mix well. Form into patties.",1,R00939
IS03546,"Heat approximately 1/4 inch oil in a fry pan over medium-high heat. Fry patties in batches until browned, turning once. Drain on paper towels, and serve.",2,R00939
IS03547,Preheat oven to 400 degrees F (200 degrees C). Line a shallow baking pan with aluminum foil.,1,R00940
IS03548,"Place salmon skin-side down on the prepared baking pan. Spread a thin layer of mustard on the top of each fillet, and season with salt and pepper. Top with bread crumbs, then drizzle with melted butter.",2,R00940
IS03549,"Bake in a preheated oven until salmon flakes easily with a fork, about 15 minutes.",3,R00940
IS03550,Preheat the oven to 350 degrees F (175 degrees C). Line a sheet pan with aluminum foil and place salmon fillets on top.,1,R00941
IS03551,"Stir soy sauce, avocado oil, chili-garlic sauce, ginger, honey, sesame oil, and lime juice together in a small bowl; brush over salmon fillets. Set remaining sauce aside for dressing.",2,R00941
IS03552,"Bake salmon in the center of the preheated oven until it flakes easily with a fork, about 15 minutes. Remove from the oven and let cool, about 15 minutes.",3,R00941
IS03553,"Divide rice evenly between 4 bowls and top with salmon fillets. Distribute carrots, snow peas, avocado, and bell peppers evenly between the bowls; sprinkle green onion over top.",4,R00941
IS03554,"Stir reserved soy sauce mixture with peanut butter, rice wine vinegar, and garlic powder; add water until dressing reaches desired consistency. Drizzle over the bowls and sprinkle with sesame seeds.",5,R00941
IS03555,Preheat the oven to 325 degrees F (165 degrees C). Generously butter a loaf pan.,1,R00942
IS03556,"Melt butter over medium heat in a saute pan until bubbling. Toss in onion, give the pan a quick shake, and stir with a wooden spoon; cook for 1 minute. Turn off the heat and allow to cool.",2,R00942
IS03557,"Place salmon in a large mixing bowl and mash with a fork. Add cracker crumbs, salt, cayenne pepper, Worcestershire sauce, rice vinegar, butter, and onions; mix and mash with a spatula or spoon until smooth.",3,R00942
IS03558,"Separate eggs, adding whites to a clean glass, metal, or ceramic bowl and adding yolks to salmon mixture. Mix egg yolks and salmon until well combined.",4,R00942
IS03559,Whisk whites to medium stiff peaks. Gently fold into salmon mixture in 2 additions.,5,R00942
IS03560,Transfer salmon mixture into the prepared loaf pan. Smooth the top with a spatula to even it out and shake and tap the pan to remove any air bubbles.,6,R00942
IS03561,"Bake in the center of the preheated oven until a toothpick comes out clean, about 45 minutes. Let rest for 5 minutes, then carefully turn loaf out onto a cutting board. Slice and serve.",7,R00942
IS03562,"Mix sesame oil, lemon juice, soy sauce, brown sugar, sesame seeds, ground mustard, ginger, and garlic powder in a small saucepan over low heat. Bring to a simmer, stirring until sugar has dissolved. Set aside 1/2 cup of marinade for basting.",1,R00943
IS03563,"Pour remaining marinade into a resealable plastic bag and place salmon into the marinade. Squeeze air out of the bag, seal, and marinate the salmon steaks for at least 1 hour (2 hours for better flavor). Drain and discard used marinade.",2,R00943
IS03564,"Set oven rack about 4 inches from the heat source and preheat the oven's broiler. Place salmon steaks into a broiler pan and broil for 5 minutes. Brush steaks with reserved marinade, turn, and broil until fish is opaque and flakes easily, about 5 more minutes. Brush again with marinade.",3,R00943
IS03565,"Mix together the olive oil and balsamic vinegar in a small bowl. Arrange the salmon fillets in a shallow baking dish. Rub garlic onto the fillets, then pour the vinegar and oil over them, turning once to coat. Season with cilantro, basil, and garlic salt. Set aside to marinate for 10 minutes.",1,R00944
IS03566,Preheat your oven's broiler.,2,R00944
IS03567,"Place the salmon about 6 inches from the heat source, and broil for 15 minutes, turning once, or until browned on both sides and easily flaked with a fork. Brush occasionally with the sauce from the pan.",3,R00944
IS03568,"Melt butter in a large pot over medium heat. Saute onion, celery, and garlic powder until onions are tender. Stir in potatoes, carrots, broth, salt, pepper, and dill. Bring to a boil, and reduce heat. Cover, and simmer 20 minutes.",1,R00945
IS03569,"Stir in salmon, evaporated milk, corn, and cheese. Cook until heated through.",2,R00945
IS03570,Preheat grill for medium heat.,1,R00946
IS03571,"In a small bowl, crush the garlic with the salt. Mix in cayenne pepper and paprika, and then stir in olive oil and lemon juice to form a paste. In a large bowl, toss shrimp with garlic paste until evenly coated.",2,R00946
IS03572,"Lightly oil grill grate. Cook shrimp for 2 to 3 minutes per side, or until opaque. Transfer to a serving dish, garnish with lemon wedges, and serve.",3,R00946
IS03573,"In medium bowl, combine egg, 1/2 cup flour, beer and baking powder. Place 1/4 cup flour and coconut in two separate bowls.",1,R00947
IS03574,"Hold shrimp by tail, and dredge in flour, shaking off excess flour. Dip in egg/beer batter; allow excess to drip off. Roll shrimp in coconut, and place on a baking sheet lined with wax paper. Refrigerate for 30 minutes. Meanwhile, heat oil to 350 degrees F (175 degrees C) in a deep-fryer.",2,R00947
IS03575,"Fry shrimp in batches: cook, turning once, for 2 to 3 minutes, or until golden brown. Using tongs, remove shrimp to paper towels to drain. Serve warm with your favorite dipping sauce.",3,R00947
IS03576,"Bring a large pot of salted water to a boil; cook linguine in boiling water until nearly tender, 6 to 8 minutes. Drain.",1,R00948
IS03577,"Melt 2 tablespoons butter with 2 tablespoons olive oil in a large skillet over medium heat. Cook and stir shallots, garlic, and red pepper flakes in the hot butter and oil until shallots are translucent, 3 to 4 minutes. Season shrimp with kosher salt and black pepper; add to the skillet and cook until pink, stirring occasionally, 2 to 3 minutes. Remove shrimp from skillet and keep warm.",2,R00948
IS03578,"Pour white wine and lemon juice into skillet and bring to a boil while scraping the browned bits of food off of the bottom of the skillet with a wooden spoon. Melt 2 tablespoons butter in skillet, stir 2 tablespoons olive oil into butter mixture, and bring to a simmer. Toss linguine, shrimp, and parsley in the butter mixture until coated; season with salt and black pepper. Drizzle with 1 teaspoon olive oil to serve.",3,R00948
IS03579,"Stir together water and sugar in a small saucepan over high heat. Bring to a boil and add walnuts. Boil for 2 minutes, then drain and place walnuts on a cookie sheet to dry.",1,R00949
IS03580,Whip egg whites in a medium bowl until foamy. Stir in mochiko until it has a pasty consistency.,2,R00949
IS03581,Heat oil in a heavy deep skillet over medium-high heat.,3,R00949
IS03582,"Dip shrimp in mochiko batter, then fry in batches in hot oil until golden brown, about 5 minutes. Remove with a slotted spoon and drain on paper towels.",4,R00949
IS03583,"Stir together mayonnaise, honey, and sweetened condensed milk in a medium serving bowl. Add fried shrimp and toss to coat with sauce. Sprinkle candied walnuts on top and serve.",5,R00949
IS03584,"Bring a large pot of lightly salted water to a boil. Add linguine pasta, and cook for 8 to 10 minutes, or until al dente; drain.",1,R00950
IS03585,"In a large skillet, melt the butter over medium heat. Stir in cream, and season with pepper. Cook 6 to 8 minutes, stirring constantly.",2,R00950
IS03586,"Stir Parmesan cheese into cream sauce, stirring until thoroughly mixed. Blend in the pesto, and cook for 3 to 5 minutes, until thickened.",3,R00950
IS03587,"Stir in the shrimp, and cook until they turn pink, about 5 minutes. Serve over the hot linguine.",4,R00950
IS03588,"Mix lime juice, olive oil, chili powder, and mayonnaise together in a bowl. Add shrimp and marinade for at least 1 hour.",1,R00951
IS03589,"Mix enchilada sauce, jalapenos, honey, lime juice, and salt together in a separate bowl for the sauce.",2,R00951
IS03590,"Toss cabbage with scallions, olive oil, vinegar, and cilantro in a large bowl for the slaw.",3,R00951
IS03591,"Heat tortillas in a frying pan over medium-high heat, about 30 seconds per side. Keep warm.",4,R00951
IS03592,Preheat an outdoor grill for medium heat and lightly oil the grate.,5,R00951
IS03593,"Remove shrimp from marinade. Grill until opaque, about 5 minutes. Add shrimp to each tortilla; top with the sauce and slaw.",6,R00951
IS03594,"Fill a large pot with lightly salted water and bring to a rapid boil. Cook noodles at a boil until tender yet firm to the bite, 3 to 5 minutes. Drain, rinse, and set aside.",1,R00952
IS03595,"Whisk together chicken stock, sherry, oyster sauce, soy sauce, sesame oil, brown sugar, and pepper in a small bowl.",2,R00952
IS03596,"Heat a large 12-inch cast iron skillet or wok over medium-high heat until hot. Add canola oil and swirl to coat the bottom of the pan; heat until it just begins to smoke. Add carrots, onion, celery, ginger, and garlic to hot oil and cook, stirring constantly, just until vegetables begin to soften, about 1 minute. Add shrimp and cook, stirring constantly, until almost done, about 2 minutes. Push vegetables and shrimp to one side of the pan and add chicken stock mixture; stir constantly until sauce is hot.",3,R00952
IS03597,"Add noodles and stir well to mix with sauce and vegetables (using a metal spatula and chopping noodles slightly helps to mix this together.) Cook, stirring constantly, until the noodles have absorbed the sauce, about 2 minutes. Stir in bean sprouts and green onions and cook, stirring constantly, until just cooked, 1 to 2 minutes. Remove from heat and stir in baby spinach until just wilted. Serve immediately.",4,R00952
IS03598,"Mix shallots, soy sauce, sake, hot pepper sauce, cilantro, and ginger together in a bowl; let sit, about 2 hours.",1,R00953
IS03599,"Mix 1 cup rice flour, seltzer water, and egg yolk together in a bowl.",2,R00953
IS03600,"Split shrimp down the center, cutting almost but not completely through, and open flat. Pat with paper towel to dry; dust with 1/2 cup rice flour. Dip shrimp in batter until thoroughly covered.",3,R00953
IS03601,"Heat oil in a deep-fryer or large saucepan to 375 degrees F (190 degrees C). Cook shrimp in small batches in oil until golden brown, about 7 minutes. Remove shrimp from oil and place on paper towel to absorb excess oil. Serves dipping sauce alongside the shrimp.",4,R00953
IS03602,"Bring a large pot of lightly salted water to a boil. Cook angel hair pasta in the boiling water, stirring occasionally, until tender yet firm to the bite, 4 to 5 minutes. Drain.",1,R00954
IS03603,"Meanwhile, butterfly shrimp, and lightly press open.",2,R00954
IS03604,"Mix flour, salt, garlic, and black pepper in a shallow dish. Reserve 2 tablespoons flour mixture and set aside. Dredge shrimp in flour mixture until well coated, shaking off excess flour.",3,R00954
IS03605,"Heat a skillet over medium-high heat. Add 2 tablespoons oil and allow to get hot. Melt 2 tablespoons butter in the hot oil, add shrimp, and cook until shrimp are bright pink on the outside and the meat is opaque, 3 to 5 minutes. Transfer shrimp to a pan lined with a drip rack and keep warm.",4,R00954
IS03606,"Heat remaining 2 tablespoons oil in the same skillet and stir in reserved flour mixture. Stir and cook for 1 to 2 minutes, but be careful so it doesn't burn. Add chicken broth and white wine. Bring to a boil over medium-high heat, reduce heat, and add cream and lemon juice. Stir and cook until sauce has slightly thickened, 3 to 5 minutes. Remove skillet from heat and stir in remaining 2 tablespoons butter until melted.",5,R00954
IS03607,"Divide pasta into serving bowls, top with lemon sauce, and 4 to 5 shrimp per serving. Garnish with chopped parsley.",6,R00954
IS03608,Pour chicken broth into a pot; bring to a simmer over medium-low heat.,1,R00955
IS03609,"Heat olive oil in a large saucepan over medium heat. Cook and stir onion and garlic in the hot oil until slightly softened, about 2 minutes. Add Arborio rice; cook, stirring frequently, until coated with oil, about 4 minutes.",2,R00955
IS03610,"Stir 1/2 cup of the hot chicken broth into the saucepan; cook and stir until the rice has absorbed the broth, about 2 minutes. Repeat this process 4 more times, stirring constantly, until rice is creamy and tender yet firm to the bite, about 15 minutes.",3,R00955
IS03611,"Stir shrimp and asparagus into the remaining hot broth. Cook until shrimp turns pink, 2 to 3 minutes. Remove broth from heat.",4,R00955
IS03612,"Stir shrimp and asparagus into the rice; cook for 1 minute. Stir Parmesan cheese and butter into the rice; cook until melted, about 1 minute. Remove rice from heat. Season with salt and pepper. Sprinkle parsley over each serving.",5,R00955
IS03613,"Bring a large pot of salted water to a boil; cook linguine in boiling water until nearly tender, 6 to 8 minutes. Drain.",1,R00956
IS03614,"Melt 2 tablespoons butter with 2 tablespoons olive oil in a large skillet over medium heat. Cook and stir shallots, garlic, and red pepper flakes in the hot butter and oil until shallots are translucent, 3 to 4 minutes. Season shrimp with kosher salt and black pepper; add to the skillet and cook until pink, stirring occasionally, 2 to 3 minutes. Remove shrimp from skillet and keep warm.",2,R00956
IS03615,"Pour white wine and lemon juice into skillet and bring to a boil while scraping the browned bits of food off of the bottom of the skillet with a wooden spoon. Melt 2 tablespoons butter in skillet, stir 2 tablespoons olive oil into butter mixture, and bring to a simmer. Toss linguine, shrimp, and parsley in the butter mixture until coated; season with salt and black pepper. Drizzle with 1 teaspoon olive oil to serve.",3,R00956
IS03616,"Whisk together flour and 3/4 cup bacon drippings in a large, heavy saucepan over medium-low heat until smooth. Cook roux, whisking constantly, until it turns a rich mahogany brown color. This can take 20 to 30 minutes; watch heat carefully and whisk constantly or roux will burn. Remove from heat; continue whisking until mixture stops cooking.",1,R00957
IS03617,Preheat grill for medium heat.,1,R00958
IS03618,"In a small bowl, crush the garlic with the salt. Mix in cayenne pepper and paprika, and then stir in olive oil and lemon juice to form a paste. In a large bowl, toss shrimp with garlic paste until evenly coated.",2,R00958
IS03619,"Lightly oil grill grate. Cook shrimp for 2 to 3 minutes per side, or until opaque. Transfer to a serving dish, garnish with lemon wedges, and serve.",3,R00958
IS03620,"Stir together water and sugar in a small saucepan over high heat. Bring to a boil and add walnuts. Boil for 2 minutes, then drain and place walnuts on a cookie sheet to dry.",1,R00959
IS03621,Whip egg whites in a medium bowl until foamy. Stir in mochiko until it has a pasty consistency.,2,R00959
IS03622,Heat oil in a heavy deep skillet over medium-high heat.,3,R00959
IS03623,"Dip shrimp in mochiko batter, then fry in batches in hot oil until golden brown, about 5 minutes. Remove with a slotted spoon and drain on paper towels.",4,R00959
IS03624,"Stir together mayonnaise, honey, and sweetened condensed milk in a medium serving bowl. Add fried shrimp and toss to coat with sauce. Sprinkle candied walnuts on top and serve.",5,R00959
IS03625,"In a large, non-reactive bowl, stir together the olive oil, lemon juice, parsley, garlic, and black pepper. Season with crushed red pepper, if desired. Add shrimp, and toss to coat. Marinate in the refrigerator for 30 minutes.",1,R00960
IS03626,"Preheat grill for high heat. Thread shrimp onto skewers, piercing once near the tail and once near the head. Discard any remaining marinade.",2,R00960
IS03627,"Lightly oil grill grate. Grill for 2 to 3 minutes per side, or until opaque.",3,R00960
IS03628,"Stir the salad shrimp, tomatoes, onion, cilantro, lime juice, salt, pepper, and garlic together in a large glass bowl. Cover with plastic wrap and refrigerate until the flavors combine, at least 1 hour. Serve cold.",1,R00961
IS03629,Mix onion with lime juice in a small bowl and allow to stand for 10 minutes.,1,R00962
IS03630,"Meanwhile, toss shrimp, roma tomatoes, cucumber, celery, jalapeno, salt, and black pepper in a medium bowl until thoroughly combined.",2,R00962
IS03631,"Whisk tomato and clam juice cocktail, ketchup, cilantro, and hot pepper sauce in a separate bowl; stir dressing into shrimp mixture.",3,R00962
IS03632,"Gently fold in avocados. Stir in onion mixture. Cover and chill thoroughly, at least 1 hour.",4,R00962
IS03633,"Whisk yogurt, chicken broth, lemon juice, Dijon mustard, garlic, and 1 teaspoon black pepper together in a bowl until dressing is smooth.",1,R00963
IS03634,"Bring a large pot of lightly salted water to a boil; add penne and cook, stirring occasionally, until tender yet firm to the bite, about 8 minutes. Drain and rinse under cold water until pasta is slightly cooled.",2,R00963
IS03635,Preheat oven to 450 degrees F (230 degrees C).,3,R00963
IS03636,Toss shrimp and 2 tablespoons olive oil together in a bowl; season with salt and pepper. Transfer to a glass baking dish.,4,R00963
IS03637,"Bake in the preheated oven until shrimp are bright pink and cooked through, 10 to 12 minutes.",5,R00963
IS03638,Toss pasta with dressing in a bowl. Add shrimp and scallions; season with 1 teaspoon kosher salt and more pepper. Garnish pasta salad with Cheddar cheese and lemon slices.,6,R00963
IS03639,Preheat the oven to 350 degrees F (175 degrees C).,1,R00964
IS03640,"Bring a large pot of lightly salted water to a boil. Add penne and cook, stirring occasionally, until tender yet firm to the bite, about 11 minutes. Drain.",2,R00964
IS03641,"Heat 1 tablespoon butter and vegetable oil large oven-safe skillet over medium heat. Add garlic; cook until fragrant, about 30 seconds. Add shrimp, 2 tablespoons parsley, and dill. Cook and stir, flipping shrimp halfway, until pink, 3 to 4 minutes. Move shrimp to a plate and set aside.",3,R00964
IS03642,"Melt the remaining 2 tablespoons butter in the skillet, stirring into the shrimp juices. Add flour; whisk until fully combined and starting to turn golden, 30 seconds to 1 minute. Add chicken broth and milk in that order; whisk to combine. Stir in tomatoes, lemon juice, salt, and pepper. Bring sauce to a simmer.",4,R00964
IS03643,"Stir 1/2 cup Parmesan cheese and Romano cheese into the sauce until cheeses begin to melt and sauce is creamy. Add 1 tablespoon mozzarella cheese. Mix in about 1/2 the cooked penne to start; add more if there is enough sauce to coat. Add the shrimp and stir to combine. Top with the remaining parsley, Parmesan, and mozzarella.",5,R00964
IS03644,"Bake in the preheated oven and bake until top is golden and sauce bubbles around the edges of the skillet, 8 to 10 minutes.",6,R00964
IS03645,"Mix together the Cajun seasoning, lime juice, and vegetable oil in a resealable plastic bag. Add the shrimp, coat with the marinade, squeeze out excess air, and seal the bag. Marinate in the refrigerator for 20 minutes.",1,R00965
IS03646,"Preheat an outdoor grill for medium heat, and lightly oil the grate. Remove the shrimp from the marinade, and shake off excess. Discard the remaining marinade.",2,R00965
IS03647,"Cook the shrimp on the preheated grill until they are bright pink on the outside and the meat is no longer transparent in the center, about 2 minutes per side.",3,R00965
IS03648,"Whisk together vinegar, fish sauce, sugar, lime juice, garlic, and red pepper flakes in small bowl. Set the sauce aside.",1,R00966
IS03649,"Heat vegetable oil a small skillet over medium heat. Add shallots; cook and stir and softened and lightly caramelized, about 8 minutes.",2,R00966
IS03650,"Preheat an outdoor grill for medium heat and lightly oil the grate. Skewer 4 shrimp on each skewer and grill until they turn pink and are charred on the outside, 1 to 2 minutes per side. Set aside.",3,R00966
IS03651,"Bring a large pot of water to a boil. Add vermicelli noodles and cook until softened, 12 minutes. Drain noodles and rinse with cold water, stirring to separate the noodles.",4,R00966
IS03652,"Assemble the vermicelli bowl by placing the cooked noodles in one half of each serving bowl and the lettuce and bean sprouts in the other half. Top each bowl with cucumbers, carrots, daikon, cilantro, Thai basil, mint, peanuts, and the caramelized shallots. Serve with shrimp skewers on top and sauce on the side. Pour sauce over the top and toss thoroughly to coat before eating.",5,R00966
IS03653,"Preheat outdoor grill for medium heat, and lightly oil the grate.",1,R00967
IS03654,"Thread shrimp onto skewers. Season both sides of shrimp with garlic salt and black pepper; if using cayenne, see Cook's Note.",2,R00967
IS03655,Generously coat both sides of shrimp with mayonnaise.,3,R00967
IS03656,"Cook shrimp on heated grill until shrimp are bright pink on the outside and opaque on the inside, and the mayonnaise turns golden brown, 5 to 10 minutes on each side. Serve with lemon wedges.",4,R00967
IS03657,"Mix flour, salt, and pepper in a medium bowl. Beat eggs in a second medium bowl until frothy. Place bread crumbs in a third bowl.",1,R00968
IS03658,"Dredge shrimp in flour mixture, shake off excess. Dip shrimp into eggs, then press shrimp into bread crumbs; turning to coat both sides.",2,R00968
IS03659,"Pour2 inches oil into a large, heavy pot; heat to 350 degrees F (175 degrees C).",3,R00968
IS03660,"Deep-fry shrimp in batches in the hot oil until cooked through, about 1 minute. Use tongs to transfer shrimp to paper towels to drain. Repeat to cook remaining shrimp.",4,R00968
IS03661,Arrange shrimp on a platter to serve.,5,R00968
IS03662,"Place the shrimp in the work bowl of a food processor, and process until the shrimp are finely ground. Set aside in a large bowl. Working in batches, process the ground beef to a fine grind, and set aside with the shrimp. Combine the shrimp and ground beef with ginger, shallot, green onions, napa cabbage, soy sauce, sesame oil, salt and pepper, and white sugar, and mix the ingredients until thoroughly combined.",1,R00969
IS03663,"To fill the pot stickers, place a wrapper on a work surface in front of you, and place a scant teaspoon of filling in the center. With a wet finger, dampen the edges of the wrapper. Fold the dough into a half-moon shape, enclosing the filling, and press and seal to remove extra air and tightly seal the edges together. It's nice to fold several small pleats in the top half of the wrapper for a traditional look before you seal in the filling. Refrigerate the filled wrappers on a parchment-lined baking sheet while you finish filling and sealing the pot stickers.",2,R00969
